"","age","female","college","church","catholic","jewish","bible","income","pid","media","feeling.dem","feeling.demc","feeling.repc","feeling.rep","abortion","black","latino","white","gay.marriage","gay.discrimination","racial.resentment","moral.traditionalism","gay.therm","immigrants","gays.adoption","trans.military","authoritarianism","aid.blacks","sample_type","race","birthright.citizenship","dreamers","border.wall","urban.unrest","conservative"
"1",46,0,1,NA,0,0,1,1,1,0,0,0,100,85,0,0,1,0,1,0,0.75,0.75,0.846938775510204,1,0,0,0.5,1,2,"latino",0,1,1,1,1
"2",37,1,0,0,0,0,1,1,0.5,0,0,0,0,50,0,0,0,0,0,0,0.5625,0.375,1,0,0,1,0.5,0,2,"other",0,0,0,0,0
"3",40,1,0,0,0,0,1,1,0.333333333333333,0,60,65,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,"white",0,0,0,0,0
"4",41,0,0,NA,1,0,3,0,0.833333333333333,0,50,70,15,70,1,0,0,0,0,0,0.75,0.5,0.693877551020408,0,0,1,1,NA,2,"other",1,0,0,1,1
"5",72,0,1,NA,0,0,2,1,0.5,0,20,15,85,70,0,0,0,0,0,1,0.6875,0.75,0.489795918367347,1,0,0,0,1,2,"other",1,0,1,1,1
"6",71,1,0,NA,0,0,1,0,0.333333333333333,0,85,85,0,15,0,0,0,1,0,0,0.375,0.5,0.693877551020408,0,0,1,0.5,0,2,"white",0,0,0,0,0
"7",37,1,0,NA,0,0,1,0,0.833333333333333,0,15,50,75,75,0,0,0,1,0,0,1,0.5,0.591836734693878,1,0,0,0.5,1,2,"white",1,0,1,0,0
"8",45,1,0,1,0,0,3,0,0.833333333333333,0,50,50,100,100,0,0,0,1,1,0,0.75,0.5,NA,1,1,1,1,1,2,"white",0,1,0,1,1
"9",70,1,0,NA,0,0,3,0,0.5,0,NA,85,0,NA,0,0,0,1,0,0,0.5625,0.375,0.489795918367347,1,0,1,1,NA,2,"white",1,0,1,NA,NA
"10",43,0,0,NA,0,0,NA,1,0.166666666666667,0,60,85,0,50,0,0,1,0,0,0,0.6875,0.375,0.489795918367347,0,0,0,0.5,0,2,"latino",0,0,0,0,0
"11",37,1,0,NA,0,0,3,0,0,NA,100,100,0,0,1,0,1,0,1,1,0.375,0.5,NA,1,1,0,1,0,2,"latino",0,0,0,0,0
"12",55,0,0,0,0,0,2,1,0.166666666666667,0,50,60,0,30,0,0,0,1,0,0,0.1875,0.5,0.693877551020408,1,0,1,0.5,1,2,"white",0,0,0,NA,NA
"13",30,1,0,NA,0,0,2,0,1,0,0,0,100,85,0,0,0,1,0,1,0.5,0.5,0.285714285714286,1,0,1,0.5,1,2,"white",0,1,1,NA,NA
"14",38,0,1,0,0,0,NA,1,0.166666666666667,0,85,85,0,0,0,0,0,0,0,0,0.25,0.75,0.489795918367347,0,0,0,0.25,0,2,"other",0,0,0,0,0
